,ASIN
0,0105910139
1,0112903282
2,0112903495
3,0114924368
4,0115531300
5,0117063789
6,0117081876
7,0117213551
8,0120604019
9,0120788306
10,0121197808
11,0121288501
12,0121447502
13,0121588610
14,0121840506
15,0121996603
16,0122023501
17,0122203070
18,0122800508
19,0122897455
20,0122904508
21,0122947576
22,0123339200
23,0123420504
24,0123842506
25,0123843553
26,0124029507
27,0124078680
28,0124336760
29,0125080808
30,0125146450
31,0125241402
32,0125457502
33,0125964110
34,0126336806
35,0126747407
36,0126832757
37,0127467505
38,0130194697
39,0130212717
40,0130224189
41,0130306789
42,0130326615
43,0130339776
44,0130359688
45,0130368954
46,0130409332
47,0130463450
48,0130464147
49,0130548022
50,0130560286
51,0130595519
52,0130612286
53,0130671665
54,0130718467
55,0130797405
56,0130819085
57,0130869856
58,0130933783
59,0130950696
60,0131088467
61,0131276395
62,0131335790
63,0131353446
64,0131362186
65,0131371150
66,0131376179
67,0131387685
68,0131469606
69,0131502115
70,0131527398
71,0131543180
72,0131546929
73,0131552880
74,0131561073
75,0131568000
76,0131568191
77,0131573101
78,0131585606
79,0131590332
80,0131591223
81,0131592475
82,0131593102
83,0131657100
84,0131709925
85,0131715887
86,0131718126
87,0131724010
88,0131737260
89,0131738569
90,0131817469
91,0131849379
92,0131890379
93,0131915673
94,0131918451
95,0131934813
96,0131955446
97,0131963937
98,0131999427
99,0132014084
100,0132017997
101,0132041448
102,0132043564
103,0132048493
104,0132050412
105,0132052105
106,0132056771
107,0132069032
108,0132092220
109,0132100665
110,0132101300
111,0132102927
112,0132109077
113,0132109174
114,0132118491
115,0132118572
116,0132119900
117,0132139316
118,0132156407
119,0132156717
120,0132156881
121,0132163497
122,0132173247
123,0132177382
124,0132186284
125,0132222515
126,0132248093
127,0132248174
128,0132251388
129,0132251833
130,0132275848
131,0132279274
132,0132288060
133,0132316978
134,0132317052
135,0132329034
136,0132341409
137,0132353083
138,0132354187
139,0132357623
140,0132358387
141,0132366355
142,0132376199
143,0132396556
144,0132402548
145,0132429047
146,0132430169
147,0132431068
148,0132431718
149,0132437341
150,0132438496
151,0132440962
152,0132455846
153,0132457520
154,0132487063
155,0132490269
156,0132525763
157,0132543869
158,0132544369
159,0132546507
160,0132549859
161,0132559226
162,0132576732
163,0132611082
164,0132612259
165,0132613263
166,0132620537
167,0132620553
168,0132625342
169,0132627515
170,0132669153
171,0132678101
172,0132679388
173,0132695243
174,0132698560
175,0132706695
176,0132722992
177,0132725495
178,0132726777
179,0132741059
180,0132770245
181,0132795558
182,0132795701
183,0132827654
184,0132912716
185,0132912740
186,0132930218
187,0132936526
188,0132948869
189,0132948915
190,0132956055
191,0132993341
192,0133019942
193,0133020266
194,0133029697
195,0133034321
196,0133050696
197,0133050904
198,0133051056
199,0133061639
200,0133061817
201,0133063003
202,0133077713
203,0133084043
204,0133087891
205,0133092607
206,0133095967
207,0133099202
208,0133109291
209,0133116530
210,0133124231
211,0133126129
212,0133126145
213,0133139050
214,0133139433
215,0133140423
216,0133143031
217,0133144011
218,0133179532
219,0133185826
220,0133185966
221,0133186024
222,0133190544
223,0133238008
224,0133249778
225,0133252817
226,0133254224
227,0133254429
228,0133255433
229,0133276430
230,0133281159
231,0133307123
232,0133317455
233,0133320995
234,0133323390
235,0133324117
236,0133329410
237,0133346080
238,0133346838
239,0133348059
240,0133351890
241,0133351912
242,0133354342
243,0133355527
244,0133356817
245,0133357082
246,0133370437
247,0133370461
248,0133370984
249,0133371883
250,0133372677
251,0133379485
252,0133382168
253,0133382591
254,0133387526
255,0133390098
256,0133402398
257,0133408817
258,0133409031
259,0133411796
260,0133412180
261,0133412202
262,0133412229
263,0133414507
264,0133414957
265,0133415058
266,0133415066
267,0133417425
268,0133417484
269,0133418731
270,0133423646
271,0133423824
272,0133427536
273,0133428370
274,0133428702
275,0133431037
276,0133444899
277,0133451232
278,0133455548
279,0133456315
280,0133456919
281,0133457109
282,0133457230
283,0133457419
284,0133457982
285,0133495523
286,0133496066
287,0133499618
288,0133506886
289,0133507335
290,0133507645
291,0133512118
292,0133512576
293,0133514382
294,0133519228
295,0133544176
296,0133544613
297,0133545172
298,0133546233
299,0133546403
300,0133548198
301,0133552527
302,0133563286
303,0133563979
304,0133569942
305,0133571734
306,0133571742
307,0133571785
308,0133576841
309,0133591174
310,0133591190
311,0133612236
312,0133639460
313,0133652912
314,0133653129
315,0133656314
316,0133659453
317,0133659488
318,0133666557
319,0133668606
320,0133682137
321,0133691756
322,0133724751
323,0133727807
324,0133728064
325,0133739600
326,0133783030
327,0133793702
328,0133816737
329,0133822532
330,0133827194
331,0133850056
332,0133858014
333,0133866246
334,0133866653
335,0133883515
336,0133905411
337,0133908712
338,0133915387
339,0133915425
340,0133925404
341,0133928519
342,0133964027
343,0133976408
344,0133988066
345,0134052498
346,0134076958
347,0134077709
348,0134078489
349,0134079477
350,0134082699
351,0134084179
352,0134128516
353,0134130146
354,0134137043
355,0134139267
356,0134149173
357,0134171950
358,0134201841
359,0134349075
360,0134395263
361,0134400259
362,0134708814
363,0134710207
364,0134819128
365,0134841972
366,0134944933
367,0135034914
368,0135057493
369,0135064066
370,0135067251
371,0135072956
372,0135090490
373,0135093570
374,0135094186
375,0135097215
376,0135098254
377,0135098831
378,0135101778
379,0135107687
380,0135109124
381,0135109442
382,0135109485
383,0135109787
384,0135114152
385,0135120489
386,0135125707
387,0135138663
388,0135141966
389,0135151724
390,0135154022
391,0135265266
392,0135298768
393,0135375061
394,0135511011
395,0135638186
396,0136013309
397,0136028608
398,0136028969
399,0136029515
400,0136056067
401,0136067123
402,0136069347
403,0136072291
404,0136078974
405,0136083757
406,0136084303
407,0136090958
408,0136093604
409,0136103227
410,0136106897
411,0136111475
412,0136116337
413,0136128661
414,0136135161
415,0136135315
416,0136139396
417,0136151647
418,0136216161
419,0136219470
420,0136570151
421,0136741274
422,0136890199
423,0137002394
424,0137027419
425,0137029039
426,0137035098
427,0137035330
428,0137045328
429,0137047681
430,0137051506
431,0137061331
432,0137071698
433,0137079206
434,0137099819
435,0137126026
436,0137134738
437,0137146663
438,0137260008
439,0137309783
440,0137420811
441,0137993137
442,0138031800
443,0138106304
444,0138121249
445,0138147574
446,0138149313
447,0138326843
448,0138423946
449,0138437157
450,0138602050
451,0138800472
452,0139149864
453,0139357505
454,0139421866
455,0139498761
456,0139554440
457,0139615326
458,0139642625
459,0139738436
460,0139777458
461,0140029133
462,0140042520
463,0140043594
464,0140045279
465,0140047166
466,0140047433
467,0140080988
468,0140081674
469,0140092331
470,0140094296
471,0140095101
472,0140102310
473,0140113428
474,0140115404
475,0140120416
476,0140120904
477,0140126635
478,0140135154
479,0140135219
480,0140135375
481,0140148078
482,0140153349
483,0140157379
484,0140157654
485,0140165592
486,0140165843
487,0140170138
488,0140170413
489,0140170960
490,0140173196
491,0140173226
492,0140174923
493,0140177396
494,0140179062
495,0140190600
496,0140190627
497,0140194878
498,0140195017
499,0140195130
500,0140195319
501,0140210040
502,0140217584
503,0140237755
504,0140257411
505,0140262431
506,0140273255
507,0140280197
508,0140312307
509,0140371478
510,0140373985
511,0140422102
512,0140440577
513,0140440674
514,0140440704
515,0140440887
516,0140440925
517,0140440984
518,0140441026
519,0140441123
520,0140442243
521,0140444254
522,0140444297
523,0140444300
524,0140444343
525,0140444424
526,0140444432
527,0140444939
528,0140445064
529,0140445153
530,0140445692
531,0140446044
532,0140447180
533,0140447369
534,0140447598
535,0140447601
536,0140448144
537,0140448985
538,0140449221
539,0140449264
540,0140449280
541,0140449515
542,0140449590
543,0140455132
544,0140455280
545,0140455647
546,0140462996
547,0140464778
548,0140466096
549,0140466878
550,0140466940
551,0140469907
552,0140480048
553,0140481346
554,0140501738
555,0140501827
556,0140502114
557,0140502890
558,0140505393
559,0140508198
560,0140546103
561,0140546685
562,0140546693
563,0140546936
564,0140547533
565,0140549056
566,0140549889
567,0140552332
568,0140552855
569,0140553126
570,0140555838
571,0140557741
572,0140563628
573,0140564349
574,0140564411
575,0140566570
576,0140566724
577,0140714545
578,0141000589
579,0141001828
580,0141007222
581,0141011580
582,0141012633
583,0141014083
584,0141014482
585,0141014792
586,0141014806
587,0141018445
588,0141024232
589,0141025387
590,0141025492
591,0141029498
592,0141031417
593,0141032014
594,0141034068
595,0141038020
596,0141038942
597,0141039051
598,0141040718
599,0141041447
600,0141042753
601,0141047151
602,0141183780
603,0141185015
604,0141304979
605,0141307102
606,0141309180
607,0141310685
608,0141325283
609,0141329017
610,0141341963
611,0141349980
612,0141396091
